"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"India, Jonathan","663697","118","18.7",36.4,"107.2","89.7","98.5","91.3","90.8","401","178","393","45",38.1,"7",5.9,4.2
"Hayes, Ke'Bryan","663647","117","10.5",27.4,"108.3","90.9","100.7","94.2","89.3","388","143","348","54",46.2,"6",5.1,3.8
"Caminero, Junior","691406","117","4.9",23.9,"116.5","91.3","103.3","96.7","89.1","413","139","389","58",49.6,"11",9.4,7.1
"Judge, Aaron","592450","116","15.8",38.8,"116.8","95.9","106.7","98.4","92.4","468","194","400","67",57.8,"29",25,16.1
"Harper, Bryce","547180","116","15.6",40.5,"110.6","91.5","102","94.3","86.6","421","199","391","57",49.1,"13",11.2,7.2
"Correa, Carlos","621043","116","4.5",29.3,"112.6","89.2","101.3","92.7","87.4","458","132","408","46",39.7,"5",4.3,3.3
"Alonso, Pete","624413","116","12.6",37.1,"114.6","94.9","106.4","100","89.6","443","174","408","67",57.8,"22",19,12.1
"Adames, Willy","642715","116","21.3",28.4,"109.6","88.5","99.3","94.8","80.4","401","179","392","52",44.8,"12",10.3,6.6
"Massey, Michael","686681","115","23",34.8,"108","87.4","97.3","89.9","88.7","404","191","404","37",32.2,"4",3.5,2.8
"Ruiz, Keibert","660688","115","8.2",30.4,"107.8","86.2","96.7","88.3","87","414","132","393","38",33,"2",1.7,1.4
"Ortiz, Joey","687401","115","16.1",27.8,"108.9","84.6","97.9","89.6","82.5","376","145","334","40",34.8,"3",2.6,2
"Riley, Austin","663586","115","17.5",40.9,"113.2","92.8","105","98.1","85.7","444","194","413","60",52.2,"20",17.4,11.3
"Vaughn, Andrew","683734","114","15.8",34.2,"110.5","92.1","102.1","96.3","89.3","405","174","391","57",50,"18",15.8,11.3
"Frelick, Sal","686217","114","6.2",24.6,"106.6","86.2","96.8","91.2","83.7","408","114","408","35",30.7,"1",0.9,0.7
"Langeliers, Shea","669127","114","11.9",35.1,"114.5","90.6","102.6","95.5","86","429","165","399","54",47.4,"14",12.3,9.5
"Larnach, Trevor","663616","114","8.4",30.7,"111.8","90.1","101.4","93.3","87.7","434","154","395","50",43.9,"9",7.9,5.4
"García Jr., Luis","671277","114","7.4",28.9,"111.7","89.3","99.8","94.5","85.3","420","156","397","49",43,"7",6.1,4.8
"Reynolds, Bryan","668804","113","5.1",33.6,"112","91.3","102.6","95.6","87.2","410","158","390","53",46.9,"14",12.4,7.8
"Ramos, Heliot","671218","113","8.3",33.6,"113.6","91.2","103","97.6","87","430","164","389","53",46.9,"16",14.2,9.4
"Semien, Marcus","543760","113","17.5",33.6,"110","88.6","98.4","91.7","86.4","417","178","401","40",35.4,"9",8,5.5
"Stott, Bryson","681082","112","15.4",37.5,"108.5","86.2","96.3","88.2","83.9","409","166","386","32",28.6,"6",5.4,3.8
"Devers, Rafael","646240","112","15.8",40.2,"111.1","95.6","104.5","96.2","95.9","440","189","395","69",61.6,"21",18.8,11
"Swanson, Dansby","621020","111","15.2",33.3,"109.3","90.8","101.4","96.1","86.1","420","169","397","53",47.7,"12",10.8,7
"Butler, Lawrence","671732","111","12.1",33.3,"113.6","92.4","102.7","96.3","88.1","435","183","420","49",44.1,"13",11.7,7.7
"Santana, Carlos","467793","111","14.5",27,"113.2","88","100.6","93.7","88.1","415","145","385","44",39.6,"8",7.2,5
"Turang, Brice","668930","111","6.5",34.2,"109.8","91.6","99.9","94.5","89.6","444","144","425","49",44.1,"9",8.1,5.5
"De La Cruz, Elly","682829","111","3.5",28.8,"114.8","90.4","102.9","95.1","87.5","436","134","398","50",45,"14",12.6,7.6
