"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Valdez, Enmanuel","665839","75","15.7",37.3,"108.5","89.8","100.1","94.2","87","405","171","394","32",42.7,"6",8,5.9
"Verdugo, Alex","657077","74","10.8",29.7,"107.4","89.7","99.7","91.5","90.1","384","152",,"31",41.9,"2",2.7,2.2
"Winn, Masyn","691026","74","19.8",32.4,"109","88.3","99.8","91.6","91.4","403","169","397","27",36.5,"6",8.1,5.1
"Walls, Taylor","670764","74","13.6",25.7,"102.8","85.7","95.6","88.9","84","386","138","386","19",25.7,"2",2.7,1.8
"Lee, Brooks","686797","73","15.8",31.5,"106.7","89.2","98.6","92.7","84.9","394","174","383","30",41.1,"8",11,8.6
"Misner, Kameron","670224","73","13.5",28.8,"108.2","87.9","99.4","91.7","84.1","431","164","379","25",34.2,"4",5.5,3.5
"Urías, Luis","649966","72","16.6",29.2,"106.8","87.7","96.9","91.8","84.6","398","165","377","22",30.6,"5",6.9,5.2
"Trout, Mike","545361","72","20.4",44.4,"115.4","90.5","102.5","94.6","85.8","484","216","398","33",45.8,"12",16.7,9.9
"Rocchio, Brayan","677587","72","7.5",33.3,"103.4","86.1","96.9","90","83.7","378","150",,"22",30.6,"2",2.8,2
"Bart, Joey","663698","72","11.7",40.3,"111","90.1","102.2","93.8","85.7","411","172","411","32",44.4,"8",11.1,6.5
"Casas, Triston","671213","72","15.1",34.7,"110.9","87.6","101","94.9","77.8","396","180","382","32",44.4,"7",9.7,6.3
"Narváez, Carlos","665966","71","13.9",25.4,"110.8","90.6","102.7","94.8","88.6","410","153","375","30",42.3,"9",12.7,8.6
"Bailey, Patrick","672275","71","20.9",36.6,"107.8","87.5","98.1","90.8","81.8","400","206",,"24",33.8,"4",5.6,3.5
"Burger, Jake","669394","70","12.7",25.7,"113","90.5","103.5","97.7","84.9","429","157","411","34",48.6,"9",12.9,8.3
"Westburg, Jordan","676059","70","13.9",25.7,"110","88.6","101.2","94.2","84.4","434","161","410","28",40,"9",12.9,9.2
"Naylor, Bo","666310","70","24.2",32.9,"108.8","91","99.8","94.7","85.4","425","197","406","25",35.7,"8",11.4,7.5
"Call, Alex","669743","70","12.4",35.7,"107.9","87.8","97","90.1","86.8","380","160",,"21",30,"2",2.9,2.1
"Beck, Jordan","687597","68","13.9",48.5,"110.8","91","102.1","96.4","81.9","437","200","419","31",45.6,"13",19.1,11.9
"Benintendi, Andrew","643217","68","23.6",32.4,"108.5","88.3","98.5","94.9","78.5","401","197","381","25",36.8,"8",11.8,8.4
"Waters, Drew","671221","68","8.1",39.7,"109.6","85.8","97.3","88.9","82.5","408","143","408","20",29.4,"2",2.9,2
"Chisholm Jr., Jazz","665862","67","18.2",29.9,"109.5","87.9","99.5","91.7","85.4","442","185","382","26",38.8,"10",14.9,8
"Kjerstad, Heston","677008","67","17.8",37.3,"106.8","89.8","101","95.5","85.5","409","179","405","32",47.8,"7",10.4,6.8
"Martini, Nick","605361","66","13.7",24.2,"105.6","85.7","97.5","89.1","84.8","370","133",,"20",30.3,"1",1.5,1.2
"Renfroe, Hunter","592669","66","16.6",21.2,"109.9","87.9","98.8","93.2","88.1","391","148",,"23",34.8,"3",4.5,3.3
"Taveras, Leody","665750","65","24.1",21.5,"109.8","86.8","97.2","89.5","89.1","389","157","389","17",26.2,"2",3.1,2.1
"Sanoja, Javier","691594","65","10.8",33.8,"104.5","88.1","97.3","91.8","86.7","376","155","367","20",30.8,"2",3.1,2.3
"Moore, Dylan","664238","64","18.2",39.1,"108.6","86.3","99.6","92","81.2","429","172","390","27",42.2,"9",14.1,9.6
"Castro, Willi","650489","64","17.2",37.5,"109.9","86","99.1","91.4","80.6","387","176","387","24",37.5,"4",6.3,4.3
"Kelly, Carson","608348","63","14.6",31.7,"106.6","91.2","101","96","87.1","418","180","389","31",49.2,"9",14.3,9.7
"White, Eli","642201","63","5.5",33.3,"108.5","87.6","100.3","93.7","82","434","144","426","24",38.1,"5",7.9,5.7
"Mastrobuoni, Miles","670156","63","9.2",34.9,"107.2","89.7","98.7","93.3","85.8","376","147",,"28",44.4,"1",1.6,1.2
"Fitzgerald, Tyler","666149","63","16.9",27,"105.6","83.9","96","86.8","82.2","381","150","375","16",25.4,"3",4.8,3.3
"Julien, Edouard","666397","63","5.6",39.7,"110.1","88.7","99.6","94.5","82.7","405","162","382","26",41.3,"7",11.1,6.7
"Smith, Pavin","656976","63","8.5",33.3,"109.3","90","99.4","91.3","89.4","429","147","409","26",41.3,"10",15.9,8.1
"Fraley, Jake","641584","62","17.6",32.3,"108.5","85","98.6","88.7","83.7","429","174","390","21",33.9,"3",4.8,3.3
"Williamson, Ben","810938","62","7.5",27.4,"110.4","87.4","100.2","88.5","86.7","398","145","398","25",40.3,"5",8.1,5.8
"Myers, Dane","667472","62","9.1",50,"106.8","92.4","101.3","95.8","89","405","158","395","29",46.8,"7",11.3,8
"Hernández, Enrique","571771","62","17.2",27.4,"109.8","91.4","101.2","95.7","86.9","438","164","392","26",41.9,"8",12.9,8.7
"Díaz, Elias","553869","61","15",27.9,"111.4","87.3","98.6","92.3","88.2","380","149","369","24",39.3,"2",3.3,2.3
"Paris, Kyren","677347","60","17.1",31.7,"108.7","88.6","101.1","94.1","80.2","434","193","396","28",46.7,"10",16.7,8.5
"Smith, Cam","701358","60","6.6",35,"110.6","86","100.2","88.5","83.9","403","145","378","23",38.3,"4",6.7,3.8
"Tellez, Rowdy","642133","60","15.6",35,"113.1","91.3","102.4","94.8","89.1","430","178","391","28",46.7,"10",16.7,10.9
"Jansen, Danny","643376","59","21.1",33.9,"106.7","87","97.2","92.2","83.3","401","191","358","22",37.3,"2",3.4,2
"Jones, Nolan","666134","58","13.6",36.2,"110.3","94.7","103.4","96.9","94.2","422","168","416","30",51.7,"7",12.1,6.6
"Urías, Ramón","602104","58","10.4",24.1,"107.1","87.4","98.5","95","83.3","397","143","376","22",37.9,"5",8.6,6.1
"Morel, Christopher","666624","58","19.1",36.2,"113.4","91.6","103.5","93.8","92.1","403","190","392","27",46.6,"11",19,9.5
"Neto, Zach","687263","57","19.2",54.4,"111.3","94.4","103.3","98.1","90.5","429","200","409","29",50.9,"7",12.3,8
"Roden, Alan","702176","57","3.7",21.1,"107.6","84.6","98","90.7","83.8","397","102","397","18",31.6,"1",1.8,1.2
"Sánchez, Jesús","660821","55","9.8",27.3,"111.5","89.1","100.4","93.9","87.6","406","145","406","20",36.4,"4",7.3,4.7
"Murphy, Sean","669221","54","6.9",33.3,"112.5","89.6","103","96.7","80.8","429","173","398","24",44.4,"8",14.8,7.9
"Schneemann, Daniel","682177","54","8.9",35.2,"111.2","89.9","101.7","99.5","83.9","401","166","390","26",48.1,"11",20.4,12.5
"Rojas, Johan","679032","54","6.6",24.1,"112.4","89","101.1","88.9","90.7","421","115","421","21",38.9,"2",3.7,2.4
"Thaiss, Matt","642136","53","16.4",24.5,"109.9","87.1","99.5","92.7","83.2","401","152","382","21",39.6,"1",1.9,1.1
"Taylor, Michael A.","572191","53","17.6",41.5,"111.3","90","101.5","97.2","83.1","411","179","411","21",39.6,"5",9.4,5.7
"Candelario, Jeimer","600869","53","11.4",20.8,"107.5","87.3","96.2","93","82.4","415","155","400","15",28.3,"4",7.5,4.4
"O'Neill, Tyler","641933","52","22.3",26.9,"108","87.9","100.7","95","81.6","402","187","387","20",38.5,"8",15.4,9.5
"Rodgers, Brendan","663898","52","10.3",42.3,"112.2","90.8","102.4","93.4","89","390","175","369","27",51.9,"7",13.5,7.4
"Mervis, Matt","670223","52","22.2",30.8,"107.8","90.8","101.5","94","90.2","421","172","389","23",44.2,"6",11.5,5.8
"Caballero, José","676609","51","16.9",49,"104.5","82.1","93.4","84.5","80.7","357","168","327","9",17.6,"1",2,1.1
"Raley, Luke","670042","49","8.8",34.7,"114.3","91.6","104.2","93.1","90.6","398","153","378","24",49,"7",14.3,8.3
"Malloy, Justyn-Henry","669234","47","21.3",36.2,"111.7","87.6","97.7","91.2","81.1","389","197","389","16",34,"3",6.4,3.4
